genre_id,name
0,Reality-TV
1,Biography
2,Film-Noir
3,Adult
4,Horror
5,Mystery
6,History
7,Music
8,Documentary
9,War
10,Short
11,Crime
12,Adventure
13,Family
14,Drama
15,Romance
16,Western
17,Action
18,Sci-Fi
19,Fantasy
20,Talk-Show
21,News
22,Game-Show
23,Comedy
24,Sport
25,Animation
26,Musical
27,Thriller
